age,attrition,department,education,gender,job_role,job_satisfaction,isMarried,monthly_income,NumCompaniesWorked,OverTime,StandardHours,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,No,Research & Development,3,Female,Research Scientist,1,Divorced,4257,4,Yes,80,19,2,2,2,2
33,No,Research & Development,3,Male,Research Scientist,4,Single,2500,0,No,80,4,3,1,0,2
19,Yes,Research & Development,3,Male,Laboratory Technician,4,Single,1102,1,No,80,1,1,0,1,0
46,No,Sales,2,Female,Sales Executive,1,Divorced,10453,1,No,80,24,24,13,15,7
38,No,Research & Development,2,Female,Laboratory Technician,4,Single,2288,1,No,80,2,2,2,2,1
31,No,Research & Development,1,Female,Research Scientist,4,Married,3929,8,Yes,80,7,4,2,0,2
34,No,Research & Development,2,Female,Research Scientist,2,Single,2311,2,No,80,9,3,2,1,2
41,Yes,Sales,2,Female,Sales Representative,2,Single,3140,1,Yes,80,4,4,3,0,2
50,No,Research & Development,3,Male,Laboratory Technician,3,Married,3690,2,No,80,5,3,2,0,2
53,No,Research & Development,2,Female,Manufacturing Director,1,Divorced,4450,1,No,80,5,4,2,1,3
33,No,Research & Development,3,Female,Research Scientist,2,Married,2756,1,No,80,8,8,7,1,6
40,No,Research & Development,1,Female,Manager,3,Married,19033,1,No,80,21,20,8,9,9
55,No,Research & Development,4,Male,Research Director,2,Single,18722,8,No,80,36,24,15,2,15
34,No,Research & Development,1,Male,Manufacturing Director,3,Married,9547,1,No,80,10,10,9,1,9
51,No,Research & Development,3,Female,Healthcare Representative,2,Single,13734,3,No,80,21,7,7,1,0
52,No,Research & Development,4,Male,Manager,3,Married,19999,0,No,80,34,33,18,11,9
27,No,Research & Development,3,Female,Research Scientist,2,Single,2279,1,No,80,7,7,7,0,3
35,Yes,Research & Development,2,Male,Manufacturing Director,3,Married,5916,3,Yes,80,8,1,0,0,1
43,No,Research & Development,3,Male,Research Scientist,4,Divorced,2089,4,No,80,7,5,4,2,2
45,No,Research & Development,2,Male,Manager,4,Married,16792,9,No,80,22,20,8,11,8
37,No,Research & Development,3,Male,Research Scientist,1,Married,3564,1,Yes,80,8,8,7,1,7
35,No,Research & Development,3,Female,Laboratory Technician,2,Single,4425,5,No,80,10,6,2,1,2
42,No,Research & Development,2,Female,Manufacturing Director,3,Divorced,5265,2,No,80,11,5,3,0,2
38,No,Research & Development,4,Male,Manufacturing Director,3,Married,6553,9,No,80,14,1,0,0,0
38,No,Research & Development,3,Male,Manufacturing Director,4,Married,6261,3,No,80,9,7,7,1,7
27,No,Research & Development,1,Male,Manufacturing Director,1,Married,4298,5,No,80,6,2,2,2,0
49,No,Research & Development,4,Male,Manufacturing Director,4,Divorced,6804,1,Yes,80,7,7,7,1,7
34,No,Research & Development,4,Male,Research Scientist,3,Divorced,3815,1,Yes,80,5,5,3,2,0
40,No,Research & Development,2,Male,Laboratory Technician,4,Married,2741,8,Yes,80,15,7,2,3,7
38,Yes,Research & Development,1,Male,Healthcare Representative,1,Married,6673,7,Yes,80,17,1,0,0,0
29,Yes,Sales,3,Female,Sales Executive,4,Married,7639,1,No,80,10,10,4,1,9
22,No,Research & Development,3,Male,Research Scientist,2,Divorced,2328,1,Yes,80,4,4,2,2,2
36,No,Research & Development,1,Female,Laboratory Technician,4,Single,2153,1,No,80,8,8,1,1,7
40,No,Research & Development,5,Male,Healthcare Representative,4,Married,4876,9,No,80,5,3,2,0,2
46,No,Research & Development,4,Male,Healthcare Representative,1,Divorced,9396,7,No,80,17,4,2,0,3
32,Yes,Sales,4,Male,Sales Executive,4,Married,10400,1,No,80,14,14,8,9,8
30,No,Research & Development,1,Male,Manufacturing Director,3,Single,8474,1,No,80,12,11,8,5,8
27,No,Sales,3,Female,Sales Executive,3,Single,9981,1,No,80,7,7,7,0,7
51,No,Research & Development,4,Male,Research Director,2,Married,12490,5,No,80,16,10,9,4,7
30,Yes,Research & Development,3,Female,Research Scientist,1,Single,2657,5,Yes,80,8,5,2,0,4
41,No,Sales,3,Female,Manager,4,Single,13591,3,Yes,80,16,1,0,0,0
30,Yes,Sales,4,Female,Sales Executive,1,Single,6696,5,No,80,9,6,3,0,1
29,Yes,Research & Development,3,Male,Research Scientist,3,Single,2058,0,No,80,7,6,2,1,5
45,No,Sales,3,Female,Sales Executive,4,Single,8865,6,No,80,23,19,7,12,8
54,No,Sales,3,Female,Sales Executive,1,Married,5940,2,No,80,16,6,2,0,5
36,No,Research & Development,2,Male,Laboratory Technician,2,Single,5914,8,No,80,16,13,11,3,7
33,No,Research & Development,4,Female,Research Scientist,2,Married,2622,6,No,80,7,3,2,1,1
37,No,Research & Development,3,Male,Research Director,4,Divorced,12185,1,Yes,80,10,10,8,0,7
38,No,Sales,3,Male,Sales Executive,3,Divorced,10609,0,No,80,17,16,10,5,13
31,No,Research & Development,4,Male,Manufacturing Director,3,Married,4345,0,No,80,6,5,4,1,4
59,No,Research & Development,3,Male,Research Scientist,4,Married,2177,3,No,80,7,1,0,0,0
37,No,Sales,4,Male,Sales Representative,4,Divorced,2793,4,No,80,13,9,8,5,8
29,No,Sales,1,Female,Sales Executive,4,Married,7918,1,No,80,11,11,10,4,1
35,No,Sales,3,Female,Sales Executive,3,Single,8789,1,No,80,10,10,7,0,8
29,Yes,Research & Development,1,Male,Research Scientist,4,Single,2389,1,Yes,80,4,4,3,0,1
52,No,Research & Development,3,Female,Laboratory Technician,4,Single,3212,7,No,80,6,2,2,2,2
42,No,Research & Development,2,Male,Manager,4,Married,19232,1,No,80,22,22,17,11,15
59,No,Human Resources,2,Male,Human Resources,3,Married,2267,8,No,80,7,2,2,2,2
50,No,Sales,4,Female,Manager,4,Divorced,19517,3,No,80,32,7,0,0,6
33,Yes,Research & Development,3,Male,Laboratory Technician,4,Married,2436,5,Yes,80,8,5,4,0,4
43,No,Sales,3,Female,Manager,4,Married,16064,5,Yes,80,22,17,13,1,9
33,Yes,Research & Development,2,Female,Laboratory Technician,1,Married,2707,7,No,80,13,9,7,1,7
52,No,Sales,4,Male,Manager,3,Single,19068,1,Yes,80,33,33,7,15,12
32,No,Sales,2,Female,Sales Representative,2,Married,3931,2,No,80,6,4,3,1,2
32,Yes,Research & Development,3,Male,Laboratory Technician,3,Single,3730,0,Yes,80,4,3,2,1,2
39,No,Research & Development,4,Female,Laboratory Technician,3,Divorced,2232,7,No,80,7,3,2,1,2
32,No,Sales,4,Male,Sales Executive,4,Married,4465,0,No,80,4,3,2,2,2
41,No,Research & Development,2,Male,Research Scientist,1,Divorced,3072,2,No,80,17,1,0,0,0
40,No,Research & Development,2,Male,Research Scientist,4,Divorced,3319,1,No,80,9,9,8,4,7
45,No,Research & Development,3,Male,Manager,4,Married,19202,0,No,80,25,24,0,1,7
31,No,Research & Development,4,Male,Research Director,3,Divorced,13675,9,No,80,9,2,2,2,2
33,No,Research & Development,4,Female,Research Scientist,4,Married,2911,1,No,80,2,2,2,0,2
34,No,Research & Development,4,Male,Manufacturing Director,1,Married,5957,6,No,80,13,11,9,5,9
37,No,Research & Development,2,Female,Research Scientist,1,Married,3920,2,No,80,17,3,1,0,2
45,No,Research & Development,4,Male,Manufacturing Director,3,Married,6434,4,No,80,9,3,2,0,2
37,Yes,Research & Development,3,Male,Manufacturing Director,3,Divorced,10048,6,No,80,17,1,0,0,0
39,No,Research & Development,4,Female,Healthcare Representative,3,Single,10938,0,No,80,20,19,6,11,8
29,No,Research & Development,3,Male,Research Scientist,4,Single,2340,1,No,80,6,6,5,1,5
42,No,Research & Development,2,Female,Research Scientist,1,Single,6545,3,Yes,80,10,3,2,0,2
29,No,Sales,2,Male,Sales Executive,4,Divorced,6931,2,No,80,10,3,2,0,2
25,No,Research & Development,3,Female,Manufacturing Director,3,Married,4898,0,No,80,5,4,2,1,2
42,No,Research & Development,3,Female,Laboratory Technician,1,Divorced,2593,0,Yes,80,10,9,6,7,8
40,No,Research & Development,2,Male,Research Director,3,Divorced,19436,0,No,80,22,21,7,3,9
51,No,Research & Development,3,Male,Research Scientist,4,Married,2723,1,No,80,1,1,0,0,0
31,Yes,Research & Development,2,Male,Laboratory Technician,2,Single,3479,0,No,80,6,5,4,1,4
32,No,Research & Development,3,Male,Laboratory Technician,2,Married,2794,1,No,80,5,5,1,0,3
38,No,Sales,2,Male,Sales Executive,4,Married,5249,3,No,80,13,8,7,7,5
32,No,Research & Development,1,Male,Laboratory Technician,1,Single,2176,4,No,80,9,6,2,0,4
46,No,Sales,3,Female,Manager,2,Married,16872,3,Yes,80,28,7,7,7,7
28,Yes,Research & Development,4,Male,Laboratory Technician,3,Single,3485,2,No,80,5,0,0,0,0
29,No,Sales,3,Male,Sales Executive,2,Married,6644,2,No,80,10,0,0,0,0
31,No,Research & Development,3,Male,Healthcare Representative,4,Married,5582,0,No,80,10,9,0,7,8
25,No,Research & Development,2,Male,Healthcare Representative,1,Divorced,4000,1,No,80,6,6,3,1,5
45,No,Research & Development,2,Male,Healthcare Representative,4,Married,13496,0,Yes,80,21,20,7,4,10
36,No,Research & Development,3,Male,Laboratory Technician,4,Married,3210,0,No,80,16,15,13,10,11
55,No,Research & Development,3,Male,Manager,1,Single,19045,0,Yes,80,37,36,10,4,13
47,Yes,Research & Development,4,Male,Manager,2,Married,11849,1,Yes,80,10,10,7,9,9
28,No,Research & Development,3,Male,Research Scientist,4,Married,2070,1,No,80,5,5,2,0,4
37,No,Sales,4,Male,Sales Executive,4,Married,6502,4,No,80,7,5,4,0,1
21,No,Research & Development,2,Male,Research Scientist,3,Single,3230,1,No,80,3,3,2,1,0
37,No,Research & Development,4,Female,Research Director,4,Divorced,13603,2,Yes,80,15,5,2,0,2
35,No,Research & Development,3,Female,Manager,2,Divorced,11996,7,No,80,10,7,7,6,2
38,No,Sales,2,Female,Sales Executive,1,Divorced,5605,1,Yes,80,8,8,0,7,7
26,No,Research & Development,3,Female,Manufacturing Director,2,Divorced,6397,1,No,80,6,6,5,1,4
50,No,Research & Development,1,Male,Research Director,2,Divorced,19144,3,No,80,28,10,4,1,6
53,No,Research & Development,4,Male,Research Director,3,Married,17584,3,Yes,80,21,5,3,1,3
42,No,Sales,1,Male,Sales Executive,3,Married,4907,1,No,80,20,20,16,11,6
29,No,Sales,2,Male,Sales Executive,4,Single,4554,1,No,80,10,10,7,0,9
55,No,Research & Development,2,Male,Laboratory Technician,4,Married,5415,3,Yes,80,12,10,7,0,8
26,No,Research & Development,2,Male,Healthcare Representative,1,Married,4741,1,Yes,80,5,5,3,3,3
37,No,Research & Development,3,Female,Research Scientist,4,Single,2115,1,No,80,17,17,12,5,7
44,Yes,Research & Development,3,Male,Laboratory Technician,3,Divorced,3161,3,Yes,80,19,1,0,0,0
38,No,Research & Development,4,Male,Healthcare Representative,4,Divorced,5745,9,No,80,10,2,2,1,2
26,Yes,Research & Development,4,Male,Laboratory Technician,2,Divorced,2373,2,Yes,80,5,3,2,0,2
28,No,Research & Development,2,Female,Research Scientist,4,Single,3310,1,No,80,5,5,3,0,2
49,No,Research & Development,4,Female,Research Director,1,Single,18665,9,Yes,80,22,3,2,1,2
